	text	labels
0	President Obama is a Muslim.	0
1	An independent payment advisory board created by in the health care reform law is like a Medicare IRS with the power to cut Medicare in order to pay for new government programs.	0
2	U.S. Sen. Bill Nelson was the deciding vote for the health care law.	2
3	Large phone companies and their trade association have hired 35 registered lobbyists to influence and pass SB 271 deregulation legislation.	4
4	RIPTA has really some of the fullest buses for its transit agency size around the country.	4
5	Says Jim Frishe wanted to tax us for doing our taxes through an accountant.	5
6	Says former Miami-Dade Mayor Carlos Alvarez and current mayoral candidate Carlos Gimenez both drove fancy European cars at taxpayer expense.	3
7	There are a larger number of shark attacks in Florida than there are cases of voter fraud.	4
8	13,000 Floridians are able to vote -- but their governor won't tell them.	1
9	Florida has the most errors and exonerations from death row.	3
10	In the last 15 years, we've witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.	5
11	Proposed NC law for body camera footage gives police broad authority to keep video footage secret even from individuals who are filmed.	5
12	Malawi has just 300 doctors for 16 million people.	4
13	Tax dodging costs developing countries $200 billion every year.	3
14	Crist sent his top policy staffer to the House Committee to testify in support of the proposal, then vetoed the bill.	5
15	Scary fact about our national debt. In 1791 it was $75 million. Today, it rises by that amount in about an hour.	3
16	Earlier this year, the head of the Congressional Budget Office testified before Congress that implementation of Obamacare would cost 800,000 jobs.	2
17	Says George LeMieux falsely attacked Marco Rubio.	4
18	I sponsored and was the co-sponsor of the only legislation that ever passed that had E-Verify provisions in it back in 2010 when I served in the Legislature.	1
19	George LeMieux voted against the majority of Republicans and joined with Democrats to create a Task Force For Responsible Fiscal Action that looks strikingly similar to the Super Committee now being set up in Washington to justify massive tax hikes.	3
20	President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.	4
21	While she was mayor, Lois Frankel took a police helicopter ride to go to a dinner party.	3
22	Lois Frankel spent over $13,000 in taxpayer money on a marble shower in a private bathroom with her own toilet.	3
23	Since Debbie Halvorson has been in politics, Illinois has lost hundreds of thousands of jobs.	3
24	Says Rand Paulha's put out budgets to cut the military in half.	1
25	The current debate over authorizing military action against the Islamic State would be the first time Congress would place limits on the commander-in-chief's ability to be commander-in-chief.	1
26	Scott Maddox has run losing campaigns for 3 of Florida's 4 available cabinet positions.	1
27	Scott Maddox is a lobbyist.	5
28	We've got to find 2 billion gallons of water per day between now and 2025.	4
29	All the money the Department of Citrus has is paid for by the citrus growers. You don't save dollars by eliminating the Department of Citrus.	4
